country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Libya,,,,,,,,,,,,,98.9B,115B,120B,138B,155B,169B,176B,176B,185B,71.8B,149B,125B,92.3B,81.8B,74.2B,90.1B,104B,109B,77.3B
St. Lucia,845M,875M,977M,995M,1.04B,1.07B,1.13B,1.14B,1.22B,1.28B,1.31B,1.27B,1.31B,1.38B,1.5B,1.54B,1.84B,1.9B,2.04B,2.03B,2.1B,2.3B,2.26B,2.34B,2.3B,2.22B,2.42B,2.56B,2.69B,2.78B,2.24B
Sri Lanka,39.7B,42.9B,46B,50.5B,54.2B,58B,61.3B,66.5B,70.2B,74.1B,80.2B,80.7B,85.4B,92.7B,100B,110B,121B,134B,143B,150B,164B,182B,207B,218B,229B,236B,252B,263B,278B,288B,282B
Lesotho,2.22B,2.34B,2.44B,2.48B,2.64B,2.71B,2.91B,3.04B,3.03B,3.15B,3.25B,3.91B,4B,4.21B,4.22B,4.26B,4.39B,5.25B,5.49B,5.31B,5.52B,5.5B,5.43B,5.97B,6.38B,7.09B,7.05B,6.34B,6.43B,6.51B,5.86B
Lithuania,,,,,,21.4B,22.7B,24.8B,26.9B,26.9B,29B,32.3B,35.7B,40.2B,43B,47.5B,52.8B,59.3B,64.2B,58.6B,61.9B,67.3B,71.5B,77.3B,81.7B,80.7B,85.5B,92B,98.7B,105B,105B
Luxembourg,11B,12.4B,12.9B,13.4B,13.7B,15.3B,16.1B,17.3B,17.7B,19.9B,21.4B,22.2B,22.2B,22.1B,26.9B,29.3B,30B,34.9B,35B,27.8B,31.3B,32.9B,33.8B,34.7B,37.4B,38.5B,41B,43.2B,45.2B,48B,47.9B
Latvia,,,,,,13.8B,14.3B,15.9B,17.1B,17.5B,19B,21.2B,23.3B,25.1B,27.1B,30.7B,34.2B,38.8B,42B,38.9B,37.4B,40.9B,43.2B,45.8B,47.5B,49.1B,52.3B,55.5B,58.4B,60.5B,60.2B
"Macao, China",9.41B,10.1B,11.7B,12.5B,13.3B,13.9B,13.8B,14B,13.4B,13B,13.7B,15.6B,17.2B,19.3B,24.2B,26.7B,29.8B,38.5B,36.4B,37.8B,47.3B,57B,63.6B,73.6B,75.8B,62.6B,63.5B,69.9B,75.8B,75.1B,
Morocco,61.9B,68.5B,68.8B,69.5B,78.9B,76B,87.6B,87.7B,95.7B,98.2B,102B,112B,118B,127B,138B,147B,163B,174B,188B,195B,205B,220B,222B,233B,224B,242B,249B,259B,274B,285B,270B
Moldova,,,,,,,9.33B,9.63B,8.96B,8.89B,9.46B,10.5B,11.8B,13B,14.6B,16.1B,17.2B,17.7B,19.6B,17.8B,19.6B,21.1B,23B,26.2B,27.4B,27.8B,31.4B,33.9B,35.9B,38B,35.4B
Madagascar,13.5B,12.9B,13.5B,14.2B,14.4B,14.9B,15.7B,16.6B,17.5B,18.7B,20B,21.7B,19.3B,21.6B,23.5B,25.2B,27.3B,30B,32.7B,31.5B,32B,33.2B,33.3B,34.2B,35.8B,36.2B,38.6B,39.4B,42.1B,43.6B,42.8B
Maldives,,,,,,1.49B,1.64B,1.8B,1.96B,2.11B,2.25B,2.26B,2.47B,2.83B,3.1B,2.78B,3.62B,3.49B,4.01B,3.82B,4.09B,4.61B,4.93B,5.46B,6.29B,7.01B,7.61B,8.26B,9B,9.74B,6.94B
Mexico,660B,716B,762B,741B,793B,749B,817B,895B,952B,997B,1.07TR,1.1TR,1.12TR,1.16TR,1.24TR,1.31TR,1.46TR,1.53TR,1.63TR,1.61TR,1.72TR,1.88TR,1.97TR,2TR,2.12TR,2.17TR,2.32TR,2.4TR,2.49TR,2.53TR,2.34TR
Marshall Islands,,,,,,172M,151M,146M,151M,155M,161M,175M,180M,181M,188M,203M,204M,217M,201M,212M,220M,224M,212M,232M,244M,268M,264M,273M,287M,302M,
North Macedonia,10.9B,10.6B,9.92B,9.48B,9.59B,9.72B,9.99B,10.3B,10.8B,11.3B,12.2B,12.2B,12.8B,13.2B,14.5B,15.7B,17.6B,18.2B,21.3B,22.4B,23B,23.6B,24B,25.6B,27.3B,27.8B,30.1B,31.3B,33.3B,34.9B,33.9B
Mali,6.76B,7.84B,7.75B,8.21B,8.61B,8.83B,9.62B,10.2B,11.2B,12B,12.3B,13.9B,14.4B,16.5B,17.2B,18.9B,20.3B,21.6B,23.1B,24.1B,25.8B,27.3B,27.1B,28.8B,31.6B,34.6B,38.3B,40.2B,43.3B,45.9B,45.6B
Malta,3.44B,3.73B,3.94B,4.17B,4.41B,4.78B,5B,5.34B,5.51B,5.95B,6.89B,7.32B,7.82B,8.3B,8.6B,8.73B,9.06B,9.67B,10.7B,10.4B,11.3B,11.8B,12.1B,13.1B,14.1B,15.7B,16.4B,17.9B,19.9B,21.8B,20.4B
Myanmar,17.6B,18B,20.2B,21.9B,24.1B,26.3B,28.5B,30.7B,32.9B,37B,43B,48.9B,55.7B,64.5B,75.3B,88.1B,103B,118B,133B,148B,164B,177B,184B,202B,213B,226B,232B,246B,268B,279B,253B
Montenegro,,,,,,,,,,,3.82B,4.32B,4.57B,4.75B,5.05B,5.16B,6.53B,7.75B,8.65B,8.07B,8.39B,9.05B,8.75B,9.42B,9.68B,10.4B,11.4B,12.5B,13.6B,14.6B,13B
Mongolia,7.18B,6.88B,6.27B,6.12B,6.48B,7.05B,7.4B,7.83B,8.27B,8.65B,8.9B,9.39B,9.98B,10.8B,12.3B,13.4B,15.1B,17B,18.7B,18.3B,19B,22.7B,26.7B,28.7B,29.9B,29.6B,30.1B,30.3B,34.7B,36.8B,35.8B
Mozambique,,3.98B,3.73B,4.24B,4.62B,4.87B,5.6B,6.38B,7.05B,8.02B,8.18B,9.3B,9.63B,11.4B,12.7B,13.7B,15B,16.9B,18.6B,20.4B,21.8B,24.3B,25.6B,27.6B,29.6B,34.3B,37.1B,35.7B,38.2B,39.8B,39.2B
Mauritania,5.2B,5.48B,5.7B,6.13B,6.06B,6.82B,7.72B,7.51B,7.84B,8.27B,8.06B,7.95B,8.62B,9.36B,10.1B,11.2B,13.1B,13.2B,13.6B,13.9B,14.1B,14.8B,15.3B,16.6B,16.2B,16.5B,19.2B,21.4B,22.6B,24.2B,24.3B
Mauritius,5.19B,5.66B,6.18B,6.63B,6.99B,7.46B,7.98B,8.64B,9.25B,9.65B,10.7B,11.3B,11.7B,12.5B,13.5B,14.2B,15.4B,17.1B,18.2B,18.7B,19.5B,20.5B,22.1B,24.2B,25.1B,26.3B,28.3B,29.8B,32.2B,33.9B,28.3B
Malawi,4.33B,4.88B,4.62B,5.19B,4.7B,5.61B,6.22B,6.58B,6.87B,7.18B,7.47B,7.26B,7.52B,8.09B,8.76B,9.35B,10.1B,11.4B,12.5B,13.6B,14.6B,15.7B,15.6B,17B,17.1B,16.5B,17.6B,25.1B,26.9B,28.9B,29.5B
Malaysia,118B,132B,147B,166B,185B,208B,233B,253B,236B,250B,275B,285B,308B,336B,369B,404B,447B,491B,520B,522B,560B,607B,643B,669B,711B,730B,762B,806B,862B,919B,886B
Namibia,5.4B,6.15B,6.57B,6.6B,6.85B,7.45B,7.65B,8.08B,8.5B,8.67B,9.38B,9.62B,10.4B,11.4B,12.7B,13.1B,14.5B,15.4B,16.1B,16.3B,17.1B,18.5B,19.7B,21.7B,23.7B,24.6B,24.1B,24B,24.5B,25B,23.4B
Niger,6.17B,6.35B,6.63B,6.81B,7.06B,7.41B,7.66B,7.93B,8.93B,9.07B,9.18B,10.1B,10.8B,11.2B,11.7B,13B,14.2B,14.9B,16.3B,16.8B,18.5B,19.4B,21.3B,21.7B,23B,24B,24.8B,26.1B,28.8B,31.1B,29.4B
Nigeria,185B,192B,203B,198B,202B,211B,226B,237B,243B,256B,255B,287B,333B,360B,404B,442B,515B,549B,596B,645B,705B,757B,793B,853B,939B,957B,953B,960B,986B,1.04TR,1.03TR
Nicaragua,8.19B,7.63B,7.62B,7.89B,8.24B,9.25B,10.2B,10.9B,11.7B,12.7B,13.6B,14.2B,14.6B,15.3B,16.6B,18B,19.2B,20.8B,21.9B,21.3B,22.5B,24.5B,25.4B,26.6B,29.2B,31.7B,34.2B,36.4B,36B,35.8B,35.8B
Netherlands,284B,302B,313B,327B,346B,367B,386B,410B,434B,469B,517B,530B,555B,559B,586B,606B,675B,719B,742B,730B,751B,789B,806B,839B,828B,853B,877B,951B,1.01TR,1.04TR,1.02TR
Curaçao,,,,,,,,,,,,,,,,3.49B,3.66B,3.85B,3.93B,3.88B,3.98B,4.08B,3.92B,3.92B,3.92B,3.96B,3.94B,4.12B,4.23B,4.19B,
Norway,75.9B,80.6B,86.3B,90.7B,98B,105B,116B,125B,123B,135B,164B,171B,173B,177B,196B,223B,252B,262B,293B,269B,286B,310B,331B,344B,349B,326B,322B,350B,384B,376B,355B
Nepal,16.3B,17.9B,19.1B,20.3B,22.4B,23.6B,25.4B,27.1B,28.2B,29.9B,32.5B,34.9B,35.3B,37.3B,40.1B,43B,46B,49B,53B,55.9B,59.1B,62.2B,68.1B,73.2B,80.5B,82.1B,82.6B,99.5B,109B,119B,118B
Nauru,,,,,,,,,,,,,,,,,,48.5M,54.3M,62.8M,72M,82.1M,92.3M,126M,159M,186M,194M,192M,200M,224M,
New Zealand,47.4B,47.5B,49.3B,52.9B,57.7B,61.7B,63.8B,68B,70.4B,74.2B,78.3B,82.9B,87.4B,91.9B,96.7B,99.3B,108B,115B,118B,127B,129B,137B,139B,155B,162B,167B,182B,196B,208B,219B,218B
Oman,40.6B,45B,49.1B,53.3B,56.5B,60.8B,63.5B,68.4B,70.9B,71.7B,78B,82.8B,83.3B,84.5B,88.8B,92.2B,102B,109B,117B,123B,126B,133B,147B,152B,147B,128B,125B,130B,131B,130B,
Pakistan,203B,220B,243B,252B,267B,286B,305B,313B,324B,343B,364B,385B,400B,433B,480B,527B,576B,617B,640B,661B,685B,722B,742B,772B,814B,857B,881B,935B,1.01TR,1.04TR,1.05TR
Panama,12B,13.2B,14.9B,16.4B,17.4B,17.8B,18.9B,20.3B,21.9B,22.8B,24.4B,24.9B,26.7B,27.5B,29.9B,32.6B,36.4B,42.5B,47.5B,48.8B,50.9B,59.3B,65.7B,74.7B,81.5B,94.1B,104B,117B,123B,130B,108B
Peru,69.6B,76.4B,77.3B,83B,94.7B,104B,110B,119B,121B,125B,130B,135B,144B,151B,160B,173B,188B,210B,236B,242B,262B,284B,298B,319B,331B,341B,356B,375B,398B,417B,379B
Philippines,162B,169B,176B,185B,199B,213B,231B,251B,275B,286B,294B,310B,326B,349B,381B,414B,447B,488B,521B,543B,588B,621B,680B,731B,780B,818B,887B,948B,1.03TR,1.11TR,990B
Palau,,,,,,,,,,,210M,230M,243M,233M,246M,266M,276M,293M,283M,257M,262M,285M,296M,291M,312M,339M,345M,338M,364M,352M,
Papua New Guinea,6.48B,7.36B,8.25B,10B,10.9B,10.9B,11.7B,11.6B,11.3B,11.6B,11.7B,11.8B,12B,12.2B,13B,14.5B,15B,17B,17.6B,18.5B,20.6B,20.8B,23.2B,23.8B,29.4B,31.6B,33.9B,35.4B,36B,38.1B,38B
Poland,223B,218B,227B,242B,264B,291B,316B,342B,364B,385B,407B,424B,450B,464B,493B,521B,565B,618B,685B,712B,774B,838B,870B,903B,932B,983B,1.03TR,1.09TR,1.16TR,1.24TR,1.26TR
Puerto Rico,33.5B,35.5B,36.7B,39.1B,41.1B,43.6B,45.6B,48.8B,50.3B,54.8B,58.7B,60.5B,61.3B,63B,71.6B,73.3B,75.5B,78.3B,77.4B,75.4B,75.2B,76.7B,79.4B,80.2B,80B,79.5B,78.5B,76.3B,75.3B,78.1B,76.7B
Portugal,117B,127B,132B,132B,136B,145B,151B,159B,169B,180B,191B,199B,209B,216B,222B,236B,252B,263B,272B,270B,279B,278B,271B,288B,293B,299B,318B,332B,350B,370B,350B
Paraguay,,,,,,28.8B,31.4B,32.1B,32.6B,32.5B,31B,32B,33.4B,33B,35.9B,38B,42.4B,48.1B,52.8B,52.9B,59.5B,64.2B,61.5B,69.1B,72.9B,73.9B,78.3B,83.6B,88.3B,89.9B,89.8B
Palestine,,,,,5.84B,6.43B,6.57B,7.76B,9.26B,10.2B,9.05B,8.12B,7.1B,8.25B,10.2B,11.9B,12.3B,13.3B,14.5B,15.5B,16.5B,18.6B,22.3B,23.7B,25.4B,28.5B,30.9B,32.3B,34.6B,35.9B,31.8B
Qatar,,,,,,,,,,,52.8B,58.5B,63.2B,68.8B,79.7B,82.9B,117B,142B,169B,183B,220B,261B,291B,306B,303B,233B,219B,249B,254B,259B,254B
Romania,122B,110B,102B,106B,113B,122B,129B,124B,123B,124B,130B,144B,154B,159B,185B,199B,236B,271B,337B,335B,340B,356B,372B,390B,409B,424B,472B,524B,559B,617B,606B
Russia,1.19TR,1.16TR,1.01TR,943B,847B,826B,806B,825B,772B,836B,975B,1.06TR,1.15TR,1.3TR,1.44TR,1.66TR,2.07TR,2.32TR,2.8TR,2.68TR,2.84TR,3.16TR,3.37TR,3.61TR,3.64TR,3.43TR,3.44TR,3.71TR,4.11TR,4.15TR,4.04TR
Rwanda,4.03B,4.06B,4.4B,4.13B,2.1B,2.93B,3.32B,3.85B,4.23B,4.49B,4.97B,5.49B,6.32B,6.55B,7.23B,8.19B,9.22B,10.2B,11.6B,12.4B,13.4B,14.8B,15.5B,16.4B,18.5B,20.1B,21.4B,22.9B,25.4B,28.3B,28B
Saudi Arabia,540B,631B,666B,678B,686B,709B,730B,751B,789B,773B,828B,840B,827B,934B,1.04TR,1.13TR,1.2TR,1.26TR,1.37TR,1.36TR,1.43TR,1.61TR,1.7TR,1.71TR,1.76TR,1.58TR,1.51TR,1.59TR,1.66TR,1.69TR,1.66TR
Sudan,26.6B,27.7B,30.9B,33.9B,36B,39.2B,43.5B,49.4B,52B,53.8B,58.2B,63.7B,68.9B,75B,79.8B,88.3B,93.9B,112B,120B,127B,143B,138B,130B,130B,169B,168B,178B,174B,182B,177B,174B
Senegal,11.4B,12.1B,12.6B,13B,13.2B,14.3B,15.1B,15.8B,17B,18.2B,19.3B,20.6B,20.9B,22.6B,24.3B,26.2B,27.7B,29.2B,31B,31.8B,33.3B,34.2B,36.1B,37.2B,39.4B,42.4B,44.9B,48B,52.3B,55.5B,56.9B
Singapore,71.9B,78.8B,87.4B,97.5B,113B,125B,134B,152B,150B,160B,175B,177B,185B,195B,213B,236B,274B,307B,315B,313B,378B,401B,417B,424B,446B,449B,470B,494B,501B,515B,492B
Solomon Islands,419M,453M,523M,568M,630M,703M,727M,732M,749M,743M,667M,634M,613M,673M,748M,812M,852M,887M,931M,966M,1.09B,1.17B,1.24B,1.4B,1.43B,1.45B,1.53B,1.66B,1.78B,1.84B,1.84B
Sierra Leone,2.99B,3.27B,2.62B,2.87B,2.67B,2.7B,2.87B,2.79B,2.78B,2.81B,3.08B,2.97B,3.81B,4.26B,4.65B,5.01B,5.4B,6.41B,7.08B,7.41B,7.36B,7.79B,9.74B,11.9B,12.2B,11.2B,10.4B,11.9B,12.1B,13.8B,13.4B
El Salvador,14.9B,15.7B,17.3B,18.8B,20.2B,21.6B,22.1B,23.2B,24.1B,24.7B,25.6B,26.4B,27.1B,27.9B,28.9B,30.6B,33.1B,34.6B,36.4B,35.5B,36.8B,38.9B,39.1B,41.2B,43.4B,45.8B,48.5B,51B,53.4B,56.2B,52.2B
Somalia,,,,,,,,,,,,,,,,,,,,,,,,8.94B,9.79B,11.3B,12.1B,12.6B,13.2B,13.9B,13.8B
Serbia,,,,,,,,43.5B,45.4B,41.7B,45.3B,48.7B,53.9B,56.8B,62.8B,67.5B,74.6B,80.3B,90.3B,90.5B,91.4B,95.6B,97B,101B,101B,101B,106B,109B,118B,124B,129B
South Sudan,,,,,,,,,,,,,,,,,,,,,,16B,14.8B,20.5B,13.5B,11.6B,,,,,
Sao Tome and Principe,,,,,,,,,,,,256M,266M,294M,312M,347M,407M,435M,466M,480M,520M,555M,546M,643M,759M,763M,793M,816M,863M,895M,934M
Suriname,2.67B,2.84B,2.92B,2.76B,2.93B,3B,3.07B,3.26B,3.38B,3.33B,3.46B,3.45B,3.87B,4.19B,4.66B,5.1B,5.55B,6.11B,6.53B,6.75B,7B,7.29B,8.21B,8.97B,9.42B,9.6B,8.07B,9.28B,10.1B,10.4B,8.8B
Slovak Republic,,,,,,46.8B,50.9B,54.4B,57.4B,57.6B,61.1B,66.7B,71.4B,72.5B,78.6B,87.1B,98.7B,111B,125B,124B,133B,136B,143B,150B,155B,158B,157B,161B,169B,174B,171B
Slovenia,,,,,,27.2B,28.5B,30.3B,31.8B,33.8B,35.7B,37.7B,40B,41.6B,44.8B,47.3B,50.9B,54.3B,58.3B,55.3B,56.3B,58.6B,58.8B,60.9B,63.1B,63.3B,68.3B,74.1B,79.4B,84.7B,81.8B
Sweden,170B,173B,172B,172B,185B,198B,205B,214B,224B,243B,263B,267B,277B,290B,306B,313B,351B,385B,402B,384B,407B,430B,442B,455B,467B,485B,503B,532B,555B,585B,586B
Eswatini,3.04B,3.23B,3.42B,3.51B,3.5B,3.97B,4.34B,4.55B,4.53B,4.82B,4.84B,5.23B,5.21B,5.4B,5.86B,6.76B,7.02B,7.58B,7.69B,7.71B,7.85B,8.11B,8.35B,9.06B,9.23B,9.35B,9.18B,8.82B,9.23B,9.27B,9.72B
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,1.08B,1.12B,1.22B,1.13B,1.19B,1.45B,1.47B,1.53B,1.5B,1.44B,,
Seychelles,601M,643M,710M,770M,792M,778M,838M,963M,1.04B,1.07B,1.1B,1.12B,1.07B,1.07B,1.15B,1.29B,1.46B,1.52B,1.5B,1.52B,1.65B,1.7B,1.8B,1.91B,2.05B,2.11B,2.25B,2.42B,2.58B,2.7B,2.39B
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,781M,869M,966M,988M,1.06B,1.15B,
Chad,4.12B,4.66B,5.17B,4.33B,4.98B,5.16B,5.35B,5.73B,6.26B,6.31B,6.32B,7.21B,7.81B,7.89B,11B,13.2B,13.5B,14.8B,15.1B,18.1B,21B,21.6B,21.6B,19.8B,21.9B,24.9B,23.8B,23.5B,24.6B,25.9B,26B
Togo,3.08B,3.17B,3.12B,2.7B,3.07B,3.44B,3.88B,4.51B,4.47B,4.61B,4.7B,4.84B,5.14B,5.59B,5.67B,5.57B,5.88B,6B,6.41B,6.81B,7.3B,8.46B,8.33B,8.92B,9.58B,10.6B,14.8B,15.5B,16.7B,17.9B,18.4B
Thailand,241B,269B,296B,329B,363B,400B,428B,422B,390B,417B,451B,472B,506B,549B,597B,641B,699B,759B,785B,787B,850B,891B,963B,983B,1TR,1.03TR,1.09TR,1.15TR,1.22TR,1.29TR,1.24TR
Tajikistan,13.9B,13.4B,9.73B,8.33B,5.76B,5.75B,4.71B,5.12B,5.45B,5.73B,6.24B,6.96B,7.94B,8.87B,10.2B,13.3B,15.6B,18B,20B,19.4B,21.7B,24.5B,27.6B,32.1B,33.8B,31.5B,31.2B,33.1B,36.9B,40.4B,42.9B
Turkmenistan,,,,17.9B,15.4B,14.3B,15.6B,14.2B,15.3B,17.9B,18.6B,20.2B,20.5B,21.8B,23.4B,25.8B,29.8B,35.1B,40B,42.4B,45.7B,52.8B,57.5B,62.4B,67.1B,71.7B,76.4B,78.4B,85.2B,92.7B,
Timor-Leste,,,,,,,,,,,1.57B,1.77B,2.04B,1.7B,2.01B,2.52B,3.91B,5.6B,8.81B,6.74B,8.1B,10.1B,9.86B,8.52B,7.37B,6.1B,5.16B,5.56B,5.69B,6.41B,5.92B
Tonga,217M,237M,241M,255M,284M,303M,316M,325M,343M,358M,362M,380M,411M,423M,426M,434M,456M,468M,500M,485M,495M,538M,553M,562M,574M,588M,630M,686M,719M,729M,
Trinidad and Tobago,7.94B,8.42B,9.49B,9.78B,10.2B,10.9B,11.7B,13.1B,14.5B,15.9B,17B,18.4B,20.4B,23.6B,27B,28.9B,33.7B,36.5B,38.5B,36.7B,38.6B,36.7B,36.8B,38.4B,37.9B,36.9B,35.9B,36.7B,36.3B,37.3B,34.7B
Tunisia,28.9B,30.7B,33.8B,34.8B,36.9B,38.9B,42.2B,45.5B,48.4B,52.1B,55.5B,58.9B,60.7B,65B,70.7B,74.6B,81.4B,88.6B,93.8B,98.1B,103B,103B,106B,107B,111B,111B,114B,118B,123B,125B,118B
Turkey,453B,473B,513B,568B,544B,598B,652B,714B,552B,539B,600B,581B,601B,629B,725B,806B,934B,1.03TR,1.13TR,1.1TR,1.26TR,1.44TR,1.54TR,1.69TR,1.84TR,2TR,2.09TR,2.24TR,2.27TR,2.24TR,2.34TR
Tuvalu,,,,,,,,,,,,44.8M,56M,39.4M,44M,44M,44.7M,52.6M,52.9M,54.7M,49.3M,50.4M,43.5M,54.5M,48.5M,62.9M,63.4M,63.3M,70M,71.8M,75.8M
Tanzania,22.8B,24.2B,24.8B,25.7B,26.8B,28.5B,30.6B,32.2B,33.8B,36B,38.4B,41B,45.4B,49B,54.1B,59.6B,66.6B,72.2B,77.9B,82.7B,88.3B,97B,94.5B,102B,107B,115B,125B,131B,143B,158B,160B
Uganda,11.5B,12.6B,13.2B,14.8B,16.1B,18.3B,20.4B,21.9B,23.2B,25.5B,26.6B,28.4B,31.5B,34.2B,37.3B,40.9B,46.8B,52.3B,58B,62.4B,66.6B,74.5B,68.1B,70.3B,75.3B,79.8B,81.2B,83.4B,90.2B,98.3B,103B
Ukraine,387B,366B,331B,284B,227B,203B,186B,183B,180B,181B,196B,221B,238B,266B,306B,325B,358B,400B,416B,353B,373B,398B,419B,478B,457B,430B,471B,516B,548B,578B,554B
Uruguay,19.2B,20.8B,23.1B,24.3B,26.6B,26.8B,28.9B,32B,33.9B,33.9B,33.9B,33.3B,31.5B,30.9B,33.2B,37.4B,40.3B,44.1B,47.8B,50.1B,54.4B,58.6B,56.9B,61.4B,63.9B,65.8B,73.3B,74.7B,76.8B,79B,75.1B
United States,5.9TR,6.1TR,6.44TR,6.73TR,7.17TR,7.57TR,8.05TR,8.59TR,9.14TR,9.69TR,10.4TR,10.7TR,11.1TR,11.5TR,12.3TR,13.2TR,14.1TR,14.5TR,14.7TR,14.4TR,15.1TR,15.8TR,16.7TR,17.2TR,18.1TR,18.7TR,19.1TR,20TR,21TR,21.7TR,21.3TR
Uzbekistan,,,47.5B,47.6B,46.1B,46.7B,48.2B,51.3B,54.4B,57.3B,60.5B,64.3B,68.1B,72.5B,80.6B,89.1B,98.3B,116B,131B,138B,149B,164B,172B,183B,192B,202B,208B,215B,235B,249B,252B
St. Vincent and the Grenadines,394M,400M,433M,474M,474M,522M,543M,567M,597M,613M,638M,670M,724M,785M,833M,883M,992M,1.06B,1.1B,1.1B,1.08B,1.09B,1.13B,1.18B,1.18B,1.24B,1.35B,1.34B,1.4B,1.43B,1.42B
Venezuela,185B,211B,225B,231B,230B,246B,250B,269B,273B,264B,281B,295B,270B,254B,308B,356B,406B,461B,491B,474B,470B,494B,,,,,,,,,
Vietnam,58.4B,64.7B,73.3B,80.8B,91B,103B,114B,126B,134B,144B,169B,184B,198B,216B,239B,244B,268B,292B,315B,301B,357B,385B,435B,465B,502B,537B,590B,629B,696B,762B,798B
Vanuatu,245M,231M,236M,243M,265M,278M,299M,323M,361M,373M,392M,400M,374M,396M,421M,450M,514M,541M,610M,612M,630M,669M,665M,721M,762M,770M,807M,869M,935M,1.03B,885M
Samoa,276M,275M,,,,,,,,,,,656M,696M,752M,801M,846M,929M,955M,930M,967M,1.02B,1000M,1.01B,1.03B,1.1B,1.2B,1.23B,1.22B,1.28B,
Yemen,24.1B,25.7B,28.8B,30.8B,33.5B,35.3B,35.8B,38.3B,42.5B,43.2B,47.4B,50.8B,53.3B,55.7B,58.8B,64.1B,70.5B,75B,78.5B,84.3B,90.7B,79.7B,81.7B,88.6B,,,,,,,
South Africa,227B,235B,237B,246B,260B,273B,289B,302B,306B,318B,339B,353B,374B,392B,424B,460B,500B,534B,562B,563B,588B,617B,620B,651B,665B,678B,688B,702B,724B,740B,704B
Zambia,10.8B,10.9B,11.1B,12.4B,11.7B,12.4B,13.5B,14.2B,14.2B,15.4B,16.4B,17.7B,18.9B,20.7B,21.9B,24B,26.2B,28.5B,32.5B,37.7B,40.3B,44.3B,48.7B,51.2B,53.4B,53.4B,54B,56.1B,61.6B,63.5B,61.7B
Zimbabwe,18.1B,19.7B,18.3B,19B,21.1B,21.5B,24.3B,25.2B,26B,26.3B,26.1B,27.1B,25.2B,21.4B,20.5B,20B,19.7B,19.4B,15.9B,16.7B,20.5B,23.3B,27.1B,30.8B,32.1B,33.3B,36B,45.7B,48.6B,45.4B,42.3B
